"Link","Title","ID","Author","Created","Closed","Votes","ItemType","Status"
"http://connect.microsoft.com/SQLServer/feedback/details/2008574/","Union 2 Sharepoint Lists into Single dataset","2008574","kartheek Vasantha","11/11/2015","04/15/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2282574/","SSAS 2016 - Tabular Calculated Time Dimension Date filter problem","2282574","Luis Sim?es","1/25/2016","04/15/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2570406/","sp_updateextendedproperty  is missing PLAN GUIDE and TABLE_TYPE and More","2570406","Tom Groszko","4/9/2016","04/15/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2338100/","SSAS Tabular - error when modify model with translations","2338100","bulldog___","2/8/2016","04/15/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/897589/","SQL server 2014 Express Install from command line - URGENT!","897589","_theVman_","6/15/2014","04/15/2016","6","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1779053/","SSMS2016 CTP2.3 cannot execute SSIS packages housed in SSISDB 2012 and 2014 versions","1779053","Yitzhak Khabinsky","9/11/2015","04/15/2016","9","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1746059/","sys.dm_os_dispatcher_pools","1746059","Jason Brimhall (MCM)","9/2/2015","04/08/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/243826/","SP2:  Results Grid Background color property ignored by Management Studio","243826","Jim Gawn","12/6/2006","04/08/2016","11","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/420856/","Intermittant ""Query processor could not produce a query plan"" error when MERGE/HASH join hint provided in the query","420856","Roji. P. Thomas","3/4/2009","04/08/2016","5","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/488058/","PARSENAME incorrectly documented as deterministic","488058","Paul White NZ","9/3/2009","04/08/2016","10","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/389165/","SQL Server Management Studio gets confused dealing with multiple displays","389165","Andrew Simms","12/21/2008","04/08/2016","26","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2544112/","same example displayed twice (duplicated) in the BOL","2544112","pituach","4/2/2016","04/08/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2453996/","Issues with Agent in SSMS 2016 RC0  13.0.12000.65","2453996","Bill Gerrard","3/9/2016","04/08/2016","4","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/741144/","Problem switching database context with database drop-down control (activated from CTRL-U in query windows) doesn't react to characters typed in, neither to up and down arrow, and is case sensitive.","741144","Maurice Pelchat","5/8/2012","04/08/2016","10","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2456157/","Mobile Report Publisher and Excel sheet names containing non-US characters","2456157","Mogens Smerdel","3/10/2016","04/08/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1841076/","TempDB setup initial size too low","1841076","Brent Ozar","9/27/2015","04/08/2016","120","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2373424/","System Configuration Checker doesn't recognise abence of .NET 3.5 SP1","2373424","Tobias Toifl","2/18/2016","04/08/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/717664/","Insert performance with non parameterised table valued constructors degrades non linearly with number of clauses.","717664","Martin Smith","1/9/2012","04/08/2016","4","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2338966/","SSAS Tabular - error when change measure name to use special characters and there is a KPI referring to it as its target","2338966","bulldog___","2/8/2016","04/01/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1515763/","Ascending Key TF problem with Filtered Indexes","1515763","PrinceLucifer","7/6/2015","04/01/2016","4","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2323808/","Exception while setting up Stretch Db where client IP address is not able to access Azure server","2323808","Azhar Taj","2/4/2016","04/01/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2431865/","Access issue in SSRS 2016 reports_preview ","2431865","Nirmala [Eli Lilly]","3/3/2016","04/01/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2419141/","PDF Encoding with Identity-H","2419141","Christoph Muthmann","2/29/2016","04/01/2016","4","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/680877/","Configuration Manager: can't select (default) of NT Service\MSSQLSERVER again","680877","TechVsLife2","7/26/2011","04/01/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2328647/","Broken characters of DBCS in the formula bar of SSDT2015","2328647","????","2/6/2016","04/01/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1391769/","SSIS 2014 - Analysis Services Processing task - Connection cannot be made ","1391769","NelsonBA81","6/2/2015","04/01/2016","4","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2502813/","Cant create a subscription in native SSRS *** 2016 RC1 ***","2502813","cornmek1","3/22/2016","03/25/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2249718/","2016 Report Builder icons missing arrows","2249718","Alwweb","1/16/2016","03/25/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2057711/","Inconsistent Color Naming ""Light Gray"" vs ""LightGrey""","2057711","David Rockwell","11/25/2015","03/25/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/634433/","Parallel insert plan causes Primary Key Violation","634433","RajivD","1/3/2011","03/25/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/777261/","Concurrency Issue with Temp Tables in Snapshot Isolation Level","777261","Loris Chiocca, Infonic AG","1/23/2013","03/25/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2395769/","SSDT - Bug in Table Properties","2395769","Seth Bauer","2/23/2016","03/25/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/725621/","sys.dm_db_session_space_usage  inaccurate after deferred drop of allocation unit","725621","sqlity.net","2/19/2012","03/25/2016","18","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/331633/","SSMS : IntelliSense does not recognize synonyms","331633","AaronBertrand","3/5/2008","03/25/2016","55","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/895113/","SMO 2014 scripts tables with defaults differently depending on rowcount = 0 or not","895113","Chris Dennis","6/12/2014","03/18/2016","20","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2158351/","New Reporting Services 2016 CTP 3.2 - Could not connect to the server","2158351","Javier Villegas","12/22/2015","03/18/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/995817/","SQL Server 2014 Developer Edition x64 & SSDT-BI VS2013 - SSIS SQL Server Log Provider Error","995817","SteveSmithNZ","10/8/2014","03/18/2016","24","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/780973/","SSIS in VS2012 - Way too hard to distinguish disabled items - accessibility issue","780973","Greg Low - Australia","3/7/2013","03/18/2016","42","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2446525/","GetIdentificationStringByLineageId reference missing","2446525","RogerFleming","3/7/2016","03/18/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/467582/","db_ddladmin Role doesn't allow use of ""design"" functions in SSMS","467582","A.Lockwood","6/16/2009","03/18/2016","15","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/686087/","Intellisense completion mode does not persist","686087","Kevin_B","8/29/2011","03/11/2016","38","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2442327/","Incorrect documentation of result from is_objectsigned","2442327","Erland  Sommarskog","3/6/2016","03/11/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/788987/","'Salt' attribute for PassWord is missing in the project manifest - SSIS SMO Connection Manager","788987","Daniel Cai - KingswaySoft","5/30/2013","03/11/2016","16","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2413424/","BugBash: abs in natively compiled procedures does not handle -0E0 correctly","2413424","Erland  Sommarskog","2/27/2016","03/11/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1113799/","SSIS Package Configuration hangs when using VS 2012","1113799","Tom Stagg","2/3/2015","03/11/2016","8","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/427685/","Please remove auto shrink from maintenance plans","427685","SQLRockstar","3/27/2009","03/11/2016","43","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2121883/","BugBash: Activity Monitor in SSMS 2016 November broken for SQL 2012 and below","2121883","Erland  Sommarskog","12/12/2015","03/04/2016","7","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/658621/","Plus (+) and minus (-) sign on left of editor which is used to Collapse/Expand Code Blocks disappears when SQLCMD Mode is enabled in SQL Server Management Studio","658621","IsmailS","4/10/2011","03/04/2016","8","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2404066/","BugBash: attempt to create trigger for Hekaton table ends with Access Violation","2404066","Erland  Sommarskog","2/25/2016","03/04/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1396863/","TOC Incorrect Transact-SQL Reference","1396863","Curtin","6/3/2015","03/04/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2141458/","Database Snapshot Limitation Documentation is Ambiguous","2141458","RobNicholson, MCSM","12/17/2015","02/26/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2381248/","SSAS - The 'Database' with 'ID' = '' doesn't exist in the collection when restoring ","2381248","Javier Villegas","2/19/2016","02/26/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1122180/","Documentation <Out()> is not required for SQLCLR VB parameter that's OUTPUT in TSQL","1122180","Bob Beauchemin","2/9/2015","02/26/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/781452/","SQL Profiler Error when creating new SSAS trace A column with invalid type structure was encountered when the trace definition is being parsed","781452","K P V Ravikumar","3/15/2013","02/26/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/472092/","NEWSEQUENTIALID bug in management studio","472092","U?ur1","7/2/2009","02/26/2016","59","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2246394/","SQL 2014 sampled multi-column statistics override more accurate single-column statistics for non-leading columns","2246394","geoff patterson","1/15/2016","02/26/2016","8","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1370561/","SSIS's ""Execute"" dialog crashes en attempting to change the value of a parameter with a boolean  data type","1370561","jm98","5/26/2015","02/26/2016","5","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/925648/","2014 In-Memory Advisor Reports - Transaction Performance Analysis is VERY SLOW","925648","Yariv Ziv","7/21/2014","02/26/2016","6","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2374793/","BugBash: MIN queries against the inserted table in an natively compiled trigger ignores WHERE clause.","2374793","Erland  Sommarskog","2/18/2016","02/26/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/805659/","SQL statement is nested too deeply","805659","Levente0xFFFD","10/17/2013","02/26/2016","7","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/864021/","SQL2014 Profiler fails to connect to SQL 2005","864021","RichardMunn","4/30/2014","02/26/2016","62","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1115200/","Problems with SSDT Deploy when using tables with CLR-UDTs ","1115200","J?rg Debus","2/4/2015","02/19/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/709764/","SQL Agent Job History Viewer - ""The given key was not present in the dictionary. (mscorlib)""","709764","Chris Howarth","11/30/2011","02/19/2016","13","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/765892/","SQL Server 2008 R2 SP2 installation does not handle renamed master/MSDB data files","765892","JEMeyer","10/3/2012","02/19/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/728932/","Parallelism bug with SUM OVER() and RANGE","728932","AaronBertrand","3/5/2012","02/12/2016","17","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/774370/","SSIS packages abort with ?Unexpected Termination? message","774370","jbone1313","12/14/2012","02/12/2016","23","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/635391/","objectname,indexname not populated in deadlock graph in SQL2008 SP1 and SQL2008 R2","635391","Rama-M","1/10/2011","02/12/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/777072/","Tempdb contention on sysmultiobjrefs (2:1:103) causes performance problems","777072","Michael J. Swart","1/21/2013","02/12/2016","7","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1021865/","Log not truncating due to xpt_checkpoint","1021865","PeteCarter","11/5/2014","02/12/2016","18","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2299054/","Seemingly contradictory opening paragraph on the BOL page for dm_exec_query_memory_grants ","2299054","danholmes","1/29/2016","02/12/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/755720/","Information disclosure with the db_name and db_id function","755720","Erland  Sommarskog","7/26/2012","02/12/2016","12","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2079557/","Unable to instal SQL Server Update 13.0.800.111 over 13.0.700.242 Error code 2711","2079557","OmegaMan","12/1/2015","02/05/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/789845/","LocalDb cannot restore a backup whose original data and log files are in different folders.","789845","tyrius","6/10/2013","02/05/2016","13","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2080209/","SSMS 2016 November CTE error opening properties dialogue for 2014 databases","2080209","Tim Batts","12/1/2015","02/05/2016","9","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1223797/","SSRS Matrix Report - Chrome/FF  - More than one column groups causing width problems (min-width inheritance issues) (SQL Versions 2012 and 2014)","1223797","mdkid","4/3/2015","02/05/2016","5","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2029135/","BugBash Add Azure Replica to an Availability Group fails to launch","2029135","Martin.Cairney","11/17/2015","02/05/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1640362/","SQL Server 2016 CTP 2.2 Disk Label showing as SQL2014_x64_ENU","1640362","ManoharPunna","8/7/2015","02/05/2016","4","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1274164/","Error when importing Azure BACPAC as Contained database","1274164","Alexandre Chemla","4/24/2015","02/05/2016","4","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1958891/","SSDT_BI VS 2013 fails to install on windows 10 x64","1958891","BPODFW","10/29/2015","02/05/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1036178/","SSMS 2014 - Slow at expanding databases list from the object explorer","1036178","Laurent Pasquier","11/21/2014","01/29/2016","13","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2259498/","Schema compare fails with external tables","2259498","Scoott-Adams","1/19/2016","01/29/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1542422/","Two minor issues in topic Always Encrypted (Client development)","1542422","Erland  Sommarskog","7/13/2015","01/29/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1465428/","SQL Server 2016 CTP2 Doc Bug: OR operator has already supported in natively compiled stored procedure, but it still limitation on MSDN article. but there is an article as a limitation on MSDN.","1465428","Osamu Hirayama - MSFT","6/24/2015","01/29/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2050665/","Stretch Database code in documentation is broken","2050665","AngieK","11/23/2015","01/29/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2171080/","SQL Server 2016 MSDN BOL Corrections","2171080","SathyanarrayananS","12/25/2015","01/29/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1867727/","FORMAT command fails on time datatype, except with unique syntax","1867727","TechVsLife2","10/4/2015","01/29/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2187151/","Remove default containst from base tables does not remove it form (temporal) System Version tables","2187151","Chad.Hattabaugh","12/30/2015","01/29/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/524787/","Access database preview within OLE DB Source Editor fails if table name contains a space.","524787","Lee_McIntosh","1/13/2010","01/29/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/906446/","SQL Server Data Tools Code analysis not working correctly","906446","Giorgi Lagidse","6/26/2014","01/29/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/770754/","SQL Server 2012 Management Studio Crashes","770754","Fluxify","11/11/2012","01/22/2016","30","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1035467/","SQLEXPRWT_x64_ENU.exe is not generating Configuration file","1035467","Deepak.b.gupta","11/20/2014","01/22/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2093099/","Show Execution Plan from Activity Monitor fails to display graphical sqlplan file","2093099","Karl","12/4/2015","01/22/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/404168/","Invalid XML in Extended Events xml_deadlock_report output","404168","Jonathan Kehayias","1/22/2009","01/22/2016","7","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/850260/","SQL 2014 sp_send_dbmail 64KB query result limit?","850260","Randy Rabin","4/10/2014","01/22/2016","15","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2224799/","SSAS Tabular: role with DAX filter means can't delete table","2224799","bulldog___","1/9/2016","01/15/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1138283/","Data Collection - Query Statistics Collection Set not working anymore after upgrade to SQL Server 2012 SP2","1138283","Pieter Vanhove","2/19/2015","01/15/2016","16","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/260488/","SSIS XML Source can't adept to XML or database schema change","260488","Daniel_ngn","2/28/2007","01/15/2016","5","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/752850/","Transactional Publication With Article Using DATE Datatype Causes Snapshot Agent to Fail with Error 241","752850","mcdrewski","7/8/2012","01/15/2016","6","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/332059/","C2 Audit Mode and Table-Valued parameter from external client stop SQL Server service","332059","debettap","3/7/2008","01/15/2016","5","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2179731/","Error when deleting a Custom Data Collector","2179731","DBA-Man","12/28/2015","01/15/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/840894/","Copying and Pasting Script Components can cause incorrect code to execute","840894","buddylee17","3/25/2014","01/15/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2216953/","SSAS Tabular - Error when deploy model with changed table name","2216953","bulldog___","1/7/2016","01/08/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2204892/","Scripting Azure Sql Database in SSMS fails when scripting target is Azure Sql database","2204892","Darin.net","1/4/2016","01/08/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1772195/","Unable to add database to 2012 Availability Group in SSMS 2016 CTP2","1772195","Thomas Williams (PHCN)","9/9/2015","01/08/2016","0","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1609719/","SSMS 2016 CTP2 cannot open properties of SQL 2014 availability group","1609719","Trayce Jordan","7/30/2015","01/08/2016","5","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2135489/","SSMS 2016 CTP 3 cannot open the properties of a 2014 availability group","2135489","Ryan J. Adams","12/16/2015","01/08/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1652838/","Configure a column master key using SSMS failed- Incorrect syntax near 'MASTER'. (.Net SqlClient Data Provider)","1652838","DBA - financials","8/10/2015","01/08/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/767101/","Rebuild index, sys.objects, modify_date","767101","Andrea_Benedetti","10/11/2012","01/08/2016","3","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/2136598/","[Error] SSMS : Rebuild non-clustered index on table with Clustered ColumnStore Index","2136598","Ramanuj","12/16/2015","01/08/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/224946/","Msg 2801, The definition of object 'xxx' has changed since it was compiled.","224946","53956E2B-9C18-42B0-B47F-95D5CDD2547F","10/12/2006","01/08/2016","2","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/1040059/","Spelling error in msg 3752","1040059","MVerbaas","11/26/2014","01/01/2016","1","Bug","Closed"
"http://connect.microsoft.com/SQLServer/feedback/details/783327/","Trace flag 8295","783327","Pieter Vanhove","4/9/2013","12/25/2015","30","Bug","Closed"
